longitude,latitude,primary_unitid,zone,dispatch_date_to_onscene_date_mins
-69.299817,18.451683,A-2301,S-SPM,12.8
-69.923617,18.571583,B-0150,S-B2,26.4
-69.6997,18.5589,,S-B3,
-70.0114,18.43435,CRD-2111,S-BH,29.8
-69.911333,18.544283,A-0113,S-B2,7
-69.9761,18.4713,A-0109,S-A3,
-69.90925,18.503767,B-0133,S-A1,17.7
-69.922067,18.497167,B-0110,S-A1,12.4
-69.989267,18.428283,B-0104,S-A3,13.1
-69.952917,18.546717,B-0145,S-B2,15.6
-69.958033,18.477133,B-0120,S-A3,9.6
-68.451267,18.683033,B-1104,S-HIG,12.4
-68.65165,18.67085,CRD-1102,S-HIG,0
-69.906683,18.55325,A-0113,S-B2,19.2
-69.97775,18.475717,A-0110,S-A3,19.7
-69.83535,18.536383,A-0114,S-B3,3.8
-68.6438,18.8059,A-1102,S-HIG,5.9
-69.00386696,18.40436299,CRD-1204,S-LRO,18.8
-70.043433,18.479767,CRD-0116,S-A2,33.2
-70.01165,18.432683,B-2110,S-BH,9.4
-69.278933,18.456,CRD-2301,S-SPM,0
-69.903467,18.507833,B-0133,S-A1,14.4
-69.9815,18.4744,A-0110,S-A3,
-69.8847,18.4846,B-0101,S-A1,
-69.7653,18.4696,,S-B3,
-69.698233,18.473267,A-0117,S-B2,16
-69.690183,18.458133,B-0159,S-B2,8.9
-70.155283,18.566167,CRD-2116,S-VAL,6.5
-69.9848,18.471483,A-0110,S-A3,13.7
-69.8915,18.5074,CRD-0132,S-A1,23.1
-69.992,18.4666,A-0108,S-B1,
-69.9395,18.500983,B-0122,S-A3,21.2
-69.9812,18.4862,CRD-0123,S-A3,
-69.870683,18.505283,B-0141,S-B1,37.1
-69.90815,18.50405,CRD-0132,S-A1,11.2
-69.8433,18.513467,B-0142,S-B1,13.8
-69.9634,18.4997,B-0111,S-A3,10
-69.8622,18.5169,A-0108,S-B1,
-69.778383,18.48045,B-0153,S-B3,11.8
-69.886917,18.491,B-0121,S-A1,39.5
-68.967633,18.444783,CRD-1202,S-LRO,18
-70.042033,18.539067,A-0105,S-A2,22
-69.971317,18.480033,CRD-0123,S-A3,9.1
-70.053,18.524,B-0125,S-A2,
-69.96775,18.433917,B-0104,S-A3,58.5
-69.946833,18.603633,B-0151,S-B2,8.3
-69.864,18.537333,B-0144,S-B2,14.4
-70.1251,18.4214,,S-SC,
-69.979383,18.4783,A-0110,S-A3,14.5
-69.606389,18.455556,,S-B2,
-70.169533,18.679883,CRD-2117,S-VAL,12.6
-69.893367,18.5071,CRD-0132,S-A1,16.8
-69.879267,18.501767,B-0121,S-A1,47.5
-69.995083,18.466717,B-0114,S-A3,13.7
-70.10775,18.42395,A-2101,S-SC,25.8
-69.915383,18.5198,A-0111,S-B2,23.7
-70.031467,18.522167,B-0117,S-A2,12.7
-68.707933,18.617933,A-1108,S-HIG,11.4
-69.299217,18.47745,CRD-2303,S-SPM,23.7
-69.866,18.554,B-0143,S-B2,9.9
-69.686112,18.465278,U-0171,S-B3,10.4
